,Acquisition Function,Trial,Datapoints Acquired,Best Solubility
302,Human,0,302,1.0824249982833862
303,Human,0,303,1.0824249982833862
304,Human,0,304,1.0824249982833862
305,Human,0,305,1.0824249982833862
306,Human,0,306,1.0824249982833862
307,Human,0,307,1.0824249982833862
308,Human,0,308,1.0824249982833862
309,Human,0,309,1.0824249982833862
310,Human,0,310,1.0824249982833862
311,Human,0,311,1.0824249982833862
312,Human,0,312,1.0824249982833862
313,Human,0,313,1.0824249982833862
314,Human,0,314,1.0824249982833862
315,Human,0,315,1.0824249982833862
316,Human,0,316,1.0824249982833862
317,Human,0,317,1.0824249982833862
318,Human,0,318,1.0824249982833862
319,Human,0,319,1.0824249982833862
320,Human,0,320,1.0824249982833862
321,Human,0,321,1.0824249982833862
322,Human,0,322,1.0824249982833862
323,Human,0,323,1.0824249982833862
324,Human,0,324,1.0824249982833862
325,Human,0,325,1.0824249982833862
326,Human,0,326,1.0824249982833862
327,Human,0,327,1.0824249982833862
328,Human,0,328,1.0824249982833862
329,Human,0,329,1.0824249982833862
330,Human,0,330,1.0824249982833862
331,Human,0,331,1.0824249982833862
332,Human,0,332,1.0824249982833862
333,Human,0,333,1.0824249982833862
334,Human,0,334,1.0824249982833862
335,Human,0,335,1.0824249982833862
336,Human,0,336,1.0824249982833862
337,Human,0,337,1.0824249982833862
338,Human,0,338,1.0824249982833862
339,Human,0,339,1.0824249982833862
340,Human,0,340,1.0824249982833862
341,Human,0,341,1.0824249982833862
342,Human,0,342,1.0824249982833862
343,Human,0,343,1.0824249982833862
344,Human,0,344,1.0824249982833862
345,Human,0,345,1.0824249982833862
346,Human,0,346,1.0824249982833862
347,Human,0,347,1.0824249982833862
348,Human,0,348,1.0824249982833862
349,Human,0,349,1.0824249982833862
350,Human,0,350,1.0824249982833862
351,Human,0,351,1.0824249982833862
352,Human,0,352,1.0824249982833862
353,Human,0,353,1.0824249982833862
354,Human,0,354,1.0824249982833862
355,Human,0,355,1.0824249982833862
356,Human,0,356,1.0824249982833862
357,Human,0,357,1.0824249982833862
358,Human,0,358,1.0824249982833862
359,Human,0,359,1.0824249982833862
360,Human,0,360,1.0824249982833862
361,Human,0,361,1.0824249982833862
362,Human,0,362,1.0824249982833862
363,Human,0,363,1.0824249982833862
364,Human,0,364,1.0824249982833862
365,Human,0,365,1.0824249982833862
366,Human,0,366,1.0824249982833862
367,Human,0,367,1.0824249982833862
368,Human,0,368,1.0824249982833862
369,Human,0,369,1.0824249982833862
370,Human,0,370,1.0824249982833862
371,Human,0,371,1.0824249982833862
372,Human,0,372,1.0824249982833862
373,Human,0,373,1.0824249982833862
374,Human,0,374,1.0824249982833862
375,Human,0,375,1.0824249982833862
376,Human,0,376,1.0824249982833862
377,Human,0,377,1.0824249982833862
378,Human,0,378,1.0824249982833862
379,Human,0,379,1.0824249982833862
380,Human,0,380,1.0824249982833862
381,Human,0,381,1.0824249982833862
382,Human,0,382,1.0824249982833862
383,Human,0,383,1.0824249982833862
384,Human,0,384,1.0824249982833862
385,Human,0,385,1.0824249982833862
386,Human,0,386,1.0824249982833862
387,Human,0,387,1.0824249982833862
388,Human,0,388,1.0824249982833862
389,Human,0,389,1.0824249982833862
390,Human,0,390,1.0824249982833862
