,0,1,2
194,O=C(CCl)Nc1cccc(N2CCCC2=O)c1,24.8,18.93753
195,O=C(CCl)Nc1cccc(N2CCCC2=O)c1,12.4,5.853418
196,O=C(CCl)Nc1cccc(N2CCCC2=O)c1,6.19,-2.606985
197,O=C(CCl)Nc1cccc(N2CCCC2=O)c1,3.71,3.295622
198,O=C(CCl)Nc1cccc(N2CCCC2=O)c1,1.24,-10.37875
199,O=C(CCl)Nc1cccc(N2CCCC2=O)c1,0.772,9.49336
200,O=C(CCl)Nc1cccc(N2CCCC2=O)c1,99.0,57.40285
201,O=C(CCl)Nc1cccc(N2CCCC2=O)c1,49.5,43.92523
202,O=C(CCl)Nc1cccc(N2CCCC2=O)c1,24.8,20.70831
203,O=C(CCl)Nc1cccc(N2CCCC2=O)c1,12.4,16.77324
204,O=C(CCl)Nc1cccc(N2CCCC2=O)c1,6.19,1.131333
205,O=C(CCl)Nc1cccc(N2CCCC2=O)c1,3.71,3.885883
206,O=C(CCl)Nc1cccc(N2CCCC2=O)c1,1.24,-4.869651
207,O=C(CCl)Nc1cccc(N2CCCC2=O)c1,0.772,1.426463
208,O=C(CCl)Nc1cccc(N2CCCC2=O)c1,99.0,55.58036
209,O=C(CCl)Nc1cccc(N2CCCC2=O)c1,49.5,47.09821
210,O=C(CCl)Nc1cccc(N2CCCC2=O)c1,24.8,19.86607
211,O=C(CCl)Nc1cccc(N2CCCC2=O)c1,12.4,20.75893
212,O=C(CCl)Nc1cccc(N2CCCC2=O)c1,6.19,2.232143
213,O=C(CCl)Nc1cccc(N2CCCC2=O)c1,3.71,7.8125
214,O=C(CCl)Nc1cccc(N2CCCC2=O)c1,1.24,0.8928571
215,O=C(CCl)Nc1cccc(N2CCCC2=O)c1,0.772,7.8125
216,O=C(CCl)Nc1cccc(N2CCCC2=O)c1,99.0,56.91964
217,O=C(CCl)Nc1cccc(N2CCCC2=O)c1,49.5,49.77679
218,O=C(CCl)Nc1cccc(N2CCCC2=O)c1,24.8,19.86607
219,O=C(CCl)Nc1cccc(N2CCCC2=O)c1,12.4,18.30357
220,O=C(CCl)Nc1cccc(N2CCCC2=O)c1,6.19,4.6875
221,O=C(CCl)Nc1cccc(N2CCCC2=O)c1,3.71,11.60714
222,O=C(CCl)Nc1cccc(N2CCCC2=O)c1,1.24,-3.571429
223,O=C(CCl)Nc1cccc(N2CCCC2=O)c1,0.772,-3.794643
224,Cc1ccncc1NC(=O)Cc1cccc(C#N)c1,99.0,59.56714
225,Cc1ccncc1NC(=O)Cc1cccc(C#N)c1,49.5,45.59764
226,Cc1ccncc1NC(=O)Cc1cccc(C#N)c1,24.8,25.33202
227,Cc1ccncc1NC(=O)Cc1cccc(C#N)c1,12.4,16.0846
228,Cc1ccncc1NC(=O)Cc1cccc(C#N)c1,6.19,-2.705361
229,Cc1ccncc1NC(=O)Cc1cccc(C#N)c1,3.71,3.295622
230,Cc1ccncc1NC(=O)Cc1cccc(C#N)c1,1.24,1.918347
231,Cc1ccncc1NC(=O)Cc1cccc(C#N)c1,0.772,0.5410723
232,Cc1ccncc1NC(=O)Cc1cccc(C#N)c1,99.0,59.46877
233,Cc1ccncc1NC(=O)Cc1cccc(C#N)c1,49.5,44.909
234,Cc1ccncc1NC(=O)Cc1cccc(C#N)c1,24.8,27.69306
235,Cc1ccncc1NC(=O)Cc1cccc(C#N)c1,12.4,17.56026
236,Cc1ccncc1NC(=O)Cc1cccc(C#N)c1,6.19,3.689129
237,Cc1ccncc1NC(=O)Cc1cccc(C#N)c1,3.71,3.295622
238,Cc1ccncc1NC(=O)Cc1cccc(C#N)c1,1.24,-4.968028
239,Cc1ccncc1NC(=O)Cc1cccc(C#N)c1,0.772,1.328086
240,Cc1ccncc1NC(=O)Cc1cccc(C#N)c1,99.0,58.48214
241,Cc1ccncc1NC(=O)Cc1cccc(C#N)c1,49.5,50.0
242,Cc1ccncc1NC(=O)Cc1cccc(C#N)c1,24.8,22.54464
243,Cc1ccncc1NC(=O)Cc1cccc(C#N)c1,12.4,21.20536
244,Cc1ccncc1NC(=O)Cc1cccc(C#N)c1,6.19,3.125
245,Cc1ccncc1NC(=O)Cc1cccc(C#N)c1,3.71,8.035714
246,Cc1ccncc1NC(=O)Cc1cccc(C#N)c1,1.24,2.455357
