Molecule Name,CDD Number,SMILES,ProteaseAssay_Fluorescence_Dose-Response_Weizmann: IC50 (µM),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Avg IC50 (uM),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Avg IC50 (uM) Standard Deviation (×/÷),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Avg IC50 (uM) Count,ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Avg pIC50,ProteaseAssay_Fluorescence_Dose-Response_Weizmann: LE avg IC50,ProteaseAssay_Fluorescence_Dose-Response_Weizmann: LLE
CVD-0015454,,Fc1cccc(CCNC(=O)C(N(C(=O)c2cocn2)c2ccc3nc([nH]c3c2)C(F)(F)F)c2cccnc2)c1,77.6,77.6,,1,4.1,0.144,0.542
CVD-0015453,,Fc1cccc(CCNC(=O)C(N(C(=O)c2cocn2)c2ccc(cc2)S(=O)(=O)C2CCCC2)c2cccnc2)c1,> 99.5,> 99.5,,1,< 4.0,< 0.137,< 0.477
CVD-0015452,,Fc1cccc(CCNC(=O)C(N(C(=O)c2cocn2)c2ccc(Cn3cccn3)cc2)c2cccnc2)c1,8.34,8.34,,1,5.1,0.182,1.9
CVD-0015450,,Fc1cccc(CCNC(=O)C(N(C2CCCOC2)C(=O)c2cocn2)c2cccnc2)c1,> 99.5,> 99.5,,1,< 4.0,< 0.170,< 2.22
CVD-0015449,,Fc1cccc(CCNC(=O)C(N(C2CCCCC2)C(=O)c2cocn2)c2cccnc2)c1,> 99.5,> 99.5,,1,< 4.0,< 0.170,< 0.835
CVD-0015448,,CC(C)Oc1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1cocn1,0.609,0.609,,1,6.2,0.235,2.57
CVD-0015447,,CS(=O)(=O)Cc1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1cocn1,27.7,27.7,,1,4.6,0.168,2.93
CVD-0015446,,Cn1cnc2cc(ccc12)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1cocn1,> 99.5,> 99.5,,1,< 4.0,< 0.151,< 1.47
CVD-0015445,,CS(=O)(=O)c1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1cocn1,75.9,75.9,,1,4.1,0.156,2.25
CVD-0015444,,Cn1ncc2cc(ccc12)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1cocn1,48,48,,1,4.3,0.163,1.85
CVD-0015443,,Fc1cccc(CCNC(=O)C(N(Cc2cccnc2)C(=O)c2cocn2)c2cccnc2)c1,(IC50 could not be calculated),,,,,,
